version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status pkt-srcaddr pkt-dstaddr pkt-src-aws-service pkt-dst-aws-service
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 6 737 1754322586 1754322617 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 12 1468 1754322576 1754322607 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 11 1244 1754322605 1754322636 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 11 1062 1754322636 1754322667 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 22 2995 1754322695 1754322726 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 15 1817 1754322696 1754322727 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 44 6115 1754322755 1754322786 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 120 36058 1754322756 1754322787 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 15 1808 1754322816 1754322846 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 54 7195 1754322815 1754322846 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 102 34949 1754322966 1754322997 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 84 12627 1754322965 1754322996 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 113 38733 1754323026 1754323057 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 39 5567 1754323025 1754323056 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 61 9454 1754323085 1754323116 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 15 1755 1754323086 1754323117 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 5 912 1754323099 1754323130 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 778 119099 1754323158 1754323189 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 14 2521 1754322875 1754322906 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 3 195 1754322905 1754322936 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 17 1767 1754322906 1754322937 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 672 102861 1754323189 1754323220 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 5 338 1754323218 1754323249 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 6 375 1754323249 1754323280 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 2 104 1754323278 1754323309 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 13 5322 1754322376 1754322407 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 32 5544 1754322425 1754322456 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 27 3099 1754322436 1754322467 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 6 650 1754322485 1754322516 ACCEPT OK 10.3.11.57 142.250.185.91 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.63.37.34 10.3.11.57 443 44160 6 22 2615 1754322526 1754322557 ACCEPT OK 142.250.185.91 10.3.11.57 - -
5 123456789012 eni-0d6bdc1a4942cb767 10.3.11.57 10.63.37.34 44160 443 6 17 2987 1754322545 1754322576 ACCEPT OK 10.3.11.57 142.250.185.91 - -
